UiD,DADA_Id,Plate,PosNum,PosWell,Samples,#Pots,Lines,Genotypes,Background,Fractions,Tray,Group,Rep
53,P02.bc1,2,1,A,53L,53,Line 4,"pht1,1;1,4/pPHT1,4:PHT1,4 GFP # 3-1",WS,Leaf,1,9,1
69,P02.bc2,2,1,B,69L,69,WS,WS,WS,Leaf,3,2,1
8,P02.bc3,2,1,C,8L,8,phf1,phf1,Col-0,Leaf,1,5,1
68,P02.bc4,2,1,D,68L,68,WS,WS,WS,Leaf,4,2,1
192,P02.bc5,2,1,E,42S,42,Line 6,"pht1,1;1,4/pPHT1,4:PHT1,4;S258A - GFP #1-2",WS,Soil,2,10,1
127,P02.bc6,2,1,F,55R,55,Line 3,Si81psl1,Col-0,Root,4,4,1
184,P02.bc7,2,1,G,34S,34,Line 7,"pht1,1;1,4/pPHT1,4:PHT1,4 GFP # 2-1",WS,Soil,1,8,1
209,P02.bc8,2,1,H,59S,59,Line 3,Si81psl1,Col-0,Soil,1,4,1
183,P02.bc9,2,2,A,33S,33,Line 7,"pht1,1;1,4/pPHT1,4:PHT1,4 GFP # 2-1",WS,Soil,3,8,1
133,P02.bc10,2,2,B,61R,61,Line 2,"pht1,1;1,4",WS,Root,4,13,1
66,P02.bc11,2,2,C,66L,66,Line 2,"pht1,1;1,4",WS,Leaf,2,13,1
14,P02.bc12,2,2,D,14L,14,phr1,phr1,Col-0,Leaf,1,6,1
213,P02.bc13,2,2,E,63S,63,Line 2,"pht1,1;1,4",WS,Soil,2,13,1
149,P02.bc14,2,2,F,77S,77,Bulk soil,Bulk soil,Bulk soil,Soil,3,17,1
16,P02.bc15,2,2,G,16L,16,phr1,phr1,Col-0,Leaf,4,6,1
107,P02.bc16,2,2,H,35R,35,Line 7,"pht1,1;1,4/pPHT1,4:PHT1,4 GFP # 2-1",WS,Root,2,8,1
70,P02.bc17,2,3,A,70L,70,WS,WS,WS,Leaf,2,2,1
177,P02.bc18,2,3,B,27S,27,phr1/phl1,phr1/phl1,Col-0,Soil,2,7,1
74,P02.bc19,2,3,C,2R,2,Col-0,Col-0,Col-0,Root,4,1,1
156,P02.bc20,2,3,D,6S,6,Col-0,Col-0,Col-0,Soil,3,1,1
124,P02.bc21,2,3,E,52R,52,Line 4,"pht1,1;1,4/pPHT1,4:PHT1,4 GFP # 3-1",WS,Root,3,9,1
61,P02.bc22,2,3,F,61L,61,Line 2,"pht1,1;1,4",WS,Leaf,4,13,1
46,P02.bc23,2,3,G,46L,46,Line 5,"pht1,1;1,4/pPHT1,4:PHT1,4;S258A - GFP #2-3",WS,Leaf,2,11,1
187,P02.bc24,2,3,H,37S,37,Line 6,"pht1,1;1,4/pPHT1,4:PHT1,4;S258A - GFP #1-2",WS,Soil,1,10,1
80,P02.bc25,2,4,A,8R,8,phf1,phf1,Col-0,Root,1,5,1
131,P02.bc26,2,4,B,59R,59,Line 3,Si81psl1,Col-0,Root,1,4,1
40,P02.bc27,2,4,C,40L,40,Line 6,"pht1,1;1,4/pPHT1,4:PHT1,4;S258A - GFP #1-2",WS,Leaf,2,10,1
132,P02.bc28,2,4,D,60R,60,Line 3,Si81psl1,Col-0,Root,2,4,1
47,P02.bc29,2,4,E,47L,47,Line 5,"pht1,1;1,4/pPHT1,4:PHT1,4;S258A - GFP #2-3",WS,Leaf,4,11,1
50,P02.bc30,2,4,F,50L,50,Line 4,"pht1,1;1,4/pPHT1,4:PHT1,4 GFP # 3-1",WS,Leaf,1,9,1
39,P02.bc31,2,4,G,39L,39,Line 6,"pht1,1;1,4/pPHT1,4:PHT1,4;S258A - GFP #1-2",WS,Leaf,2,10,1
37,P02.bc32,2,4,H,37L,37,Line 6,"pht1,1;1,4/pPHT1,4:PHT1,4;S258A - GFP #1-2",WS,Leaf,1,10,1
115,P02.bc33,2,5,A,43R,43,Line 5,"pht1,1;1,4/pPHT1,4:PHT1,4;S258A - GFP #2-3",WS,Root,3,11,1
125,P02.bc34,2,5,B,53R,53,Line 4,"pht1,1;1,4/pPHT1,4:PHT1,4 GFP # 3-1",WS,Root,1,9,1
13,P02.bc35,2,5,C,13L,13,phr1,phr1,Col-0,Leaf,2,6,1
116,P02.bc36,2,5,D,44R,44,Line 5,"pht1,1;1,4/pPHT1,4:PHT1,4;S258A - GFP #2-3",WS,Root,3,11,1
73,P02.bc37,2,5,E,1R,1,Col-0,Col-0,Col-0,Root,3,1,1
111,P02.bc38,2,5,F,39R,39,Line 6,"pht1,1;1,4/pPHT1,4:PHT1,4;S258A - GFP #1-2",WS,Root,2,10,1
18,P02.bc39,2,5,G,18L,18,phr1,phr1,Col-0,Leaf,2,6,1
98,P02.bc40,2,5,H,26R,26,phr1/phl1,phr1/phl1,Col-0,Root,1,7,1
152,P02.bc41,2,6,A,2S,2,Col-0,Col-0,Col-0,Soil,4,1,1
166,P02.bc42,2,6,B,16S,16,phr1,phr1,Col-0,Soil,4,6,1
9,P02.bc43,2,6,C,9L,9,phf1,phf1,Col-0,Leaf,3,5,1
141,P02.bc44,2,6,D,69R,69,WS,WS,WS,Root,3,2,1
38,P02.bc45,2,6,E,38L,38,Line 6,"pht1,1;1,4/pPHT1,4:PHT1,4;S258A - GFP #1-2",WS,Leaf,1,10,1
162,P02.bc46,2,6,F,12S,12,phf1,phf1,Col-0,Soil,1,5,1
196,P02.bc47,2,6,G,46S,46,Line 5,"pht1,1;1,4/pPHT1,4:PHT1,4;S258A - GFP #2-3",WS,Soil,2,11,1
157,P02.bc48,2,6,H,7S,7,phf1,phf1,Col-0,Soil,3,5,1
178,P02.bc49,2,7,A,28S,28,phr1/phl1,phr1/phl1,Col-0,Soil,4,7,1
103,P02.bc50,2,7,B,31R,31,Line 7,"pht1,1;1,4/pPHT1,4:PHT1,4 GFP # 2-1",WS,Root,1,8,1
75,P02.bc51,2,7,C,3R,3,Col-0,Col-0,Col-0,Root,1,1,1
129,P02.bc52,2,7,D,57R,57,Line 3,Si81psl1,Col-0,Root,2,4,1
32,P02.bc53,2,7,E,32L,32,Line 7,"pht1,1;1,4/pPHT1,4:PHT1,4 GFP # 2-1",WS,Leaf,4,8,1
7,P02.bc54,2,7,F,7L,7,phf1,phf1,Col-0,Leaf,3,5,1
144,P02.bc55,2,7,G,72R,72,WS,WS,WS,Root,4,2,1
15,P02.bc56,2,7,H,15L,15,phr1,phr1,Col-0,Leaf,4,6,1
123,P02.bc57,2,8,A,51R,51,Line 4,"pht1,1;1,4/pPHT1,4:PHT1,4 GFP # 3-1",WS,Root,2,9,1
78,P02.bc58,2,8,B,6R,6,Col-0,Col-0,Col-0,Root,3,1,1
