R1P02.bc10	R1P02.bc19	R1P02.bc37	R1P02.bc51	R1P02.bc55	R1P02.bc58	R1P02.bc63	R1P02.bc91	R1P03.bc12	R1P03.bc65	R1P03.bc74	R1P03.bc89	R2P01.bc13	R2P01.bc41	R2P01.bc60	R2P01.bc64	R2P02.bc15	R2P02.bc16	R2P02.bc59	R2P02.bc65	R2P02.bc70	R2P02.bc84	R2P02.bc86	R2P03.bc2	R2P03.bc5	R2P03.bc10	R2P03.bc18	R2P03.bc20	R2P03.bc37
ASV4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	37	40	43	20	37	5
ASV5	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0
ASV11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	38	0	0	0
ASV15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0
ASV17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0
ASV23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0
ASV24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ASV28	226	0	287	542	520	659	1968	1456	48	0	0	835	0	439	29	37	0	0	25	0	24	0	0	55	122	25	0	0	79
ASV36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	13	0
ASV39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0
ASV41	139	12	0	101	108	152	106	221	133	201	251	0	331	124	61	72	26	72	73	145	110	0	617	114	194	493	112	119	105
ASV42	43	0	0	0	23	36	17	14	21	16	48	0	41	31	28	0	0	0	63	0	36	0	96	0	192	99	46	31	0
ASV45	0	0	0	0	0	0	0	0	0	0	0	0	48	37	0	0	0	15	0	52	0	0	0	0	613	70	0	0	0
ASV48	23	10	0	28	0	25	28	42	26	41	98	0	30	0	0	18	0	0	24	0	0	0	19	0	0	126	30	0	0
ASV53	145	0	0	88	84	146	204	224	33	259	118	0	128	500	389	216	66	70	386	282	276	0	108	523	954	15	198	96	190
ASV56	288	0	0	115	69	93	262	184	64	301	223	0	281	289	373	114	67	198	215	281	295	0	144	217	67	130	146	142	102
ASV59	188	0	0	94	83	131	317	522	26	115	45	0	400	220	180	273	75	173	157	95	234	0	693	315	1018	21	154	51	82
ASV60	0	0	0	0	0	0	0	0	0	0	0	0	4	3	0	101	3	0	0	0	0	0	86	0	44	0	0	0	0
ASV63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26961	43	0	0	0	0	0	0
ASV67	70	0	0	41	20	42	83	68	58	62	121	0	38	94	32	25	0	10	37	79	63	0	48	45	89	58	65	44	20
ASV68	90	30	0	25	12	21	0	59	213	40	325	0	34	604	26	127	14	70	152	536	296	0	191	145	95	522	276	35	27
ASV73	91	0	0	42	99	158	147	185	80	266	156	0	283	599	129	144	81	237	184	292	410	0	160	415	431	181	285	160	188
ASV74	0	15804	0	0	0	10	24	0	20	0	13	0	0	35	0	0	0	28	0	0	0	0	0	0	31	0	202	0	0
ASV78	14	0	0	0	17	14	75	28	11	0	0	0	175	447	85	222	74	302	48	182	354	0	427	313	1222	17	70	48	167
ASV79	24	0	0	31	0	0	18	24	37	41	36	0	318	143	0	49	0	46	54	30	47	79	607	66	66	116	48	42	35
ASV80	0	0	0	0	0	0	0	0	0	0	0	0	0	90	31	0	0	13	0	39	0	0	33	36	54	63	18	0	0
ASV81	191	0	0	104	0	0	157	173	139	271	352	0	0	215	124	158	0	77	110	51	81	0	0	0	0	663	83	88	211
ASV82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	10	0	0	0	0
ASV83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0
ASV86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0
ASV90	458	0	0	0	39	152	36	46	434	86	264	0	51	216	30	57	16	457	28	107	924	0	42	235	100	47	136	37	148
ASV91	66	0	0	37	34	66	244	73	0	40	64	0	68	241	386	37	0	82	146	409	131	0	0	145	583	63	82	59	108
ASV92	0	0	0	0	0	0	0	0	0	0	0	0	20	22	0	0	0	0	0	0	0	0	60	14	19	0	0	0	0
ASV94	51	0	0	80	0	66	194	111	31	117	92	0	218	272	202	152	49	63	164	284	295	0	187	146	168	0	131	52	87
ASV95	0	0	0	0	0	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	19	0	48	0	0	0
ASV97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0
ASV98	78	0	0	10	14	31	18	0	33	61	61	0	97	382	69	103	42	155	182	242	469	0	117	286	160	113	215	76	139
ASV101	84	0	0	26	30	48	42	67	18	36	37	0	286	175	64	76	66	150	82	144	142	0	338	194	359	68	160	59	76
ASV104	124	0	0	53	49	163	186	248	75	134	106	0	277	84	44	70	43	37	53	63	106	0	110	111	149	145	48	24	49
ASV105	45	0	0	60	46	94	135	118	0	21	0	0	208	109	92	129	53	102	29	90	106	0	307	161	574	0	69	36	61
ASV107	141	0	0	106	52	77	123	574	0	33	13	0	53	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0
ASV108	61	16	0	14	0	0	5	30	138	30	180	0	16	299	24	46	0	36	78	267	172	0	99	66	118	261	198	14	14
ASV109	0	0	0	0	0	0	0	18	16	10	35	0	0	16	0	0	0	0	0	0	0	0	19	19	9	71	0	0	0
ASV112	0	0	0	0	0	36	21	32	0	26	19	0	274	487	160	173	63	203	169	270	388	0	127	331	372	140	206	120	152
ASV113	0	0	0	0	0	0	0	11	0	0	15	0	60	0	0	23	0	0	0	0	0	0	0	0	0	75	0	0	0
ASV115	0	0	0	0	0	0	0	5	0	0	0	0	13	8	0	0	0	0	0	0	0	9454	48	0	0	0	0	0	0
ASV116	7	0	0	0	0	0	0	8	0	14	22	0	59	49	9	11	6	0	0	23	21	0	11	20	30	144	21	0	12
ASV117	43	0	0	34	0	29	0	41	35	50	62	0	103	79	30	39	0	0	41	40	0	0	49	39	47	141	44	34	20
ASV119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	418	4736	0	0	0	0	0	0
ASV121	60	0	0	110	54	77	129	153	109	82	100	0	78	133	116	86	40	44	38	81	75	0	177	78	154	269	52	49	52
ASV123	53	15	0	38	39	109	88	145	60	177	166	0	262	159	71	35	0	27	76	91	92	0	92	49	30	56	50	64	38
ASV126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0
ASV129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0
ASV133	25	0	0	47	27	67	35	74	32	93	38	0	75	386	89	81	29	117	108	143	216	0	23	251	298	36	137	97	88
ASV136	74	0	0	21	34	47	71	104	0	24	20	0	205	119	56	54	21	23	30	95	86	0	44	132	297	145	92	39	90
ASV139	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	979	2231	0	0	0	0	0	0
ASV142	0	0	0	0	0	0	0	0	14	0	34	0	0	20	0	0	0	0	0	0	7	0	0	0	0	52	0	0	5
ASV143	64	0	0	33	30	59	114	196	0	21	18	0	294	106	47	103	24	102	35	31	100	0	237	111	337	27	70	15	44
ASV152	50	0	0	26	21	57	172	79	33	62	28	0	154	83	49	68	28	34	46	56	63	0	172	95	269	124	43	31	38
ASV155	0	0	0	21	0	0	0	0	0	0	38	0	126	76	0	31	0	20	45	27	35	17	282	57	40	67	19	30	0
ASV156	66	0	0	0	0	83	48	87	0	52	91	0	222	35	0	27	0	0	0	30	0	0	182	0	43	66	28	0	0
ASV159	54	0	0	0	32	46	52	90	33	111	72	0	122	213	59	45	0	74	78	120	163	0	133	133	196	70	95	71	73
ASV161	0	0	0	0	0	0	0	0	0	0	5	0	65	19	0	0	0	0	0	18	0	0	0	0	20	11	0	0	0
ASV165	0	0	0	0	0	12	0	33	0	13	15	0	0	0	0	0	0	0	0	0	0	0	52	0	16	46	0	0	0
ASV166	64	0	0	52	43	71	62	177	58	109	124	0	134	41	0	38	0	13	0	60	0	0	237	49	83	87	28	47	0
ASV170	55	0	0	12	14	35	44	66	21	45	52	0	125	52	45	27	23	24	52	91	71	0	203	79	201	585	58	29	44
ASV171	114	0	0	45	87	0	46	85	74	110	230	0	182	0	0	0	0	0	0	0	0	0	0	0	71	63	0	0	0
ASV172	50	0	0	25	28	29	58	86	36	49	67	0	126	54	23	34	0	28	14	50	36	0	155	51	112	219	46	22	28
ASV174	0	0	0	0	0	0	0	0	0	0	20	0	56	23	0	0	0	0	0	14	10	0	26	0	13	60	15	14	0
ASV175	9	0	0	0	0	0	0	0	0	0	0	0	167	51	0	19	0	0	17	18	17	0	294	36	30	73	24	0	0
ASV176	207	0	0	64	25	75	75	93	31	161	90	0	294	49	44	27	0	29	48	65	72	0	122	65	75	34	47	25	35
ASV181	74	0	0	79	48	74	71	230	69	142	128	0	174	44	31	0	0	0	44	0	0	0	0	32	0	30	0	0	30
ASV184	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0
ASV188	38	0	0	0	34	0	33	0	28	0	15	0	62	209	27	32	0	56	20	69	93	0	70	45	279	57	51	55	57
ASV189	0	0	0	0	0	0	0	0	0	0	0	0	28	14	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0
ASV191	47	0	0	48	33	56	110	175	0	86	40	0	90	27	16	24	14	35	0	0	12	0	133	27	231	0	19	0	0
ASV193	36	0	0	22	0	0	24	30	38	33	53	0	33	33	0	23	0	0	31	38	0	0	36	41	0	74	43	28	0
ASV194	0	0	0	0	0	0	0	16	11	14	23	0	88	35	0	0	0	19	24	0	0	4	56	24	18	79	16	0	0
ASV195	0	0	0	0	0	0	9	0	18	0	22	0	19	13	0	0	0	0	0	0	0	0	0	21	0	32	9	0	0
ASV196	35	0	0	18	23	53	73	152	22	29	18	0	167	65	15	44	0	40	0	0	64	0	86	57	149	0	12	0	16
ASV197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0
ASV198	0	0	0	25	0	20	17	38	13	28	27	0	252	38	0	22	0	0	34	23	17	0	29	32	45	108	30	31	0
ASV200	23	0	0	8	0	11	31	10	0	0	0	0	92	66	63	59	16	51	33	64	106	0	100	57	251	10	56	27	69
ASV203	79	0	0	26	57	76	108	157	48	54	81	0	0	0	0	0	0	0	0	0	0	0	0	0	21	40	0	0	0
ASV206	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0
ASV212	0	0	0	0	0	0	0	28	0	0	0	0	184	55	9	19	6	16	6	30	27	0	201	18	76	343	12	8	6
ASV214	0	0	0	0	0	0	0	0	0	0	0	0	33	21	0	0	0	0	0	0	0	4735	237	0	0	0	0	0	0
ASV215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	10	0	0	0
ASV216	0	0	0	0	0	0	20	20	25	0	28	0	0	34	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0
ASV217	0	0	0	0	0	0	0	0	0	0	0	0	71	299	64	77	0	88	93	107	152	0	0	159	169	0	85	63	63
ASV218	0	0	0	0	0	19	15	16	19	29	10	0	40	243	46	56	21	80	57	88	119	0	0	177	118	32	99	45	64
ASV219	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0
ASV220	0	0	0	0	12	26	32	53	22	31	36	0	795	63	40	25	0	17	35	36	61	0	210	42	56	93	18	30	24
ASV221	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	36	15	0	0
ASV225	22	0	0	9	0	14	25	40	0	19	19	0	246	63	28	52	13	39	31	34	69	0	223	63	221	15	50	12	22
ASV226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	20	69	0	0	0
ASV227	0	0	0	29	0	53	76	28	31	61	26	0	107	35	22	42	23	36	0	44	45	0	22	29	93	138	28	0	0
ASV230	30	0	0	20	19	24	52	51	0	22	0	0	253	64	28	36	0	36	31	40	55	0	120	79	139	0	40	21	21
ASV231	0	0	0	0	0	0	0	0	0	0	0	0	26	35	37	0	0	0	0	97	33	0	83	41	65	165	27	0	0
ASV233	0	0	0	0	0	0	0	11	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4947	19	0	0	0	0	0	0
ASV235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0
ASV236	21	0	0	0	0	25	23	41	0	23	56	0	98	34	22	37	0	15	0	26	28	0	48	37	145	197	37	0	0
ASV237	22	0	0	24	0	28	29	43	0	37	39	0	121	87	0	50	0	0	63	40	56	0	34	85	63	145	64	40	54
ASV239	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0
ASV240	104	0	0	29	18	69	57	106	18	85	65	0	163	0	0	0	0	0	0	18	0	0	1252	0	24	0	19	0	11
ASV241	15	0	0	0	0	7	0	24	36	0	45	0	27	39	0	32	0	0	0	0	21	0	29	19	17	90	28	19	0
ASV242	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	31	37	0	0	0	0	34	47	0	31	0
