UiD	DADA_Header	Plate	PosNum	PosWell	Samples	Pots	Lines	Genotype	Background	Fraction	Tray	Group	Rep	Depth	LDepth
133	R1P02.bc10	2	2	B	61R	61	Line 2	pht1,1;1,4	WS	Root	4	13	Rep1	10294	9.2393164802127
74	R1P02.bc19	2	3	C	2R	2	Col-0	Col-0	Col-0	Root	4	1	Rep1	25041	10.1282697605188
73	R1P02.bc37	2	5	E	1R	1	Col-0	Col-0	Col-0	Root	3	1	Rep1	313	5.74620319054015
75	R1P02.bc51	2	7	C	3R	3	Col-0	Col-0	Col-0	Root	1	1	Rep1	4313	8.36938899664784
144	R1P02.bc55	2	7	G	72R	72	WS	WS	WS	Root	4	2	Rep1	3903	8.26950076718061
78	R1P02.bc58	2	8	B	6R	6	Col-0	Col-0	Col-0	Root	3	1	Rep1	7977	8.98431767991113
76	R1P02.bc63	2	8	G	4R	4	Col-0	Col-0	Col-0	Root	4	1	Rep1	13103	9.48059649060458
77	R1P02.bc91	2	12	C	5R	5	Col-0	Col-0	Col-0	Root	4	1	Rep1	16887	9.73429937413214
142	R1P03.bc12	3	2	D	70R	70	WS	WS	WS	Root	2	2	Rep1	4316	8.37008432637803
136	R1P03.bc65	3	9	A	64R	64	Line 2	pht1,1;1,4	WS	Root	2	13	Rep1	10148	9.22503192071917
140	R1P03.bc74	3	10	B	68R	68	WS	WS	WS	Root	4	2	Rep1	10560	9.26482855726025
139	R1P03.bc89	3	12	A	67R	67	WS	WS	WS	Root	2	2	Rep1	835	6.72743172485086
317	R2P01.bc13	1	2	E	17R	17	Line 2	Si81	Col-0	Root	2	3	Rep2	38037	10.5463146491961
336	R2P01.bc41	1	6	A	36R	36	Line 5	pht1,1;1,4	WS	Root	4	13	Rep2	21304	9.96665012749377
304	R2P01.bc60	1	8	D	4R	4	Col-0	Col-0	Col-0	Root	5	1	Rep2	5946	8.69047400355804
303	R2P01.bc64	1	8	H	3R	3	Col-0	Col-0	Col-0	Root	1	1	Rep2	6926	8.84303772496237
301	R2P02.bc15	2	2	G	1R	1	Col-0	Col-0	Col-0	Root	2	1	Rep2	1493	7.30854279753919
334	R2P02.bc16	2	2	H	34R	34	Line 5	pht1,1;1,4	WS	Root	2	13	Rep2	6359	8.75762641126741
306	R2P02.bc59	2	8	C	6R	6	Col-0	Col-0	Col-0	Root	4	1	Rep2	5936	8.68879078484722
310	R2P02.bc65	2	9	A	10R	10	WS	WS	WS	Root	3	2	Rep2	10928	9.29908358181057
312	R2P02.bc70	2	9	F	12R	12	WS	WS	WS	Root	4	2	Rep2	11916	9.38563731383317
313	R2P02.bc84	2	11	D	13R	13	Line 2	Si81	Col-0	Root	1	3	Rep2	76920	11.2505211997027
316	R2P02.bc86	2	11	F	16R	16	Line 2	Si81	Col-0	Root	4	3	Rep2	44017	10.6923312019176
335	R2P03.bc2	3	1	B	35R	35	Line 5	pht1,1;1,4	WS	Root	1	13	Rep2	13258	9.49235642280134
314	R2P03.bc5	3	1	E	14R	14	Line 2	Si81	Col-0	Root	4	3	Rep2	26688	10.1919693051585
311	R2P03.bc10	3	2	B	11R	11	WS	WS	WS	Root	3	2	Rep2	20823	9.94381342400769
309	R2P03.bc18	3	3	B	9R	9	WS	WS	WS	Root	3	2	Rep2	8259	9.01905879381072
331	R2P03.bc20	3	3	D	31R	31	Line 5	pht1,1;1,4	WS	Root	3	13	Rep2	4288	8.36357570275064
332	R2P03.bc37	3	5	E	32R	32	Line 5	pht1,1;1,4	WS	Root	3	13	Rep2	5443	8.6020856584342
